id,reference,text,tags,excluded_contexts,approximate_length
psalm-103-5,Psalm 103:5,"who satisfies your desire with good things, so that your youth is renewed like the eagle's.",gratitude,,16
psalm-107-1,Psalm 107:1,"Give thanks to Yahweh, for he is good, for his loving kindness endures forever.",gratitude,,14
psalm-136-1,Psalm 136:1,"Give thanks to Yahweh, for he is good; for his loving kindness endures forever.",gratitude,,14
psalm-118-24,Psalm 118:24,This is the day that Yahweh has made. We will rejoice and be glad in it!,gratitude,grief;mental-health,16
psalm-116-12,Psalm 116:12,What will I give to Yahweh for all his benefits toward me?,gratitude,,12
psalm-116-13,Psalm 116:13,"I will take the cup of salvation, and call on Yahweh's name.",gratitude,,12
psalm-116-14,Psalm 116:14,"I will pay my vows to Yahweh, yes, in the presence of all his people.",gratitude,,15
psalm-30-11,Psalm 30:11,"You have turned my mourning into dancing for me. You have removed my sackcloth, and clothed me with gladness,",gratitude;hope,grief,19
psalm-30-12,Psalm 30:12,"to the end that my heart may sing praise to you, and not be silent. Yahweh my God, I will give thanks to you forever!",gratitude,grief,25
1-thessalonians-5-16,1 Thessalonians 5:16,Always rejoice.,gratitude,grief;mental-health,2
1-thessalonians-5-17,1 Thessalonians 5:17,Pray without ceasing.,gratitude,,3
1-thessalonians-5-18,1 Thessalonians 5:18,"In everything give thanks, for this is the will of God in Christ Jesus toward you.",gratitude,grief;mental-health,16
philippians-4-4,Philippians 4:4,"Rejoice in the Lord always! Again I will say, ""Rejoice!""",gratitude,grief;mental-health,10
james-1-17,James 1:17,"Every good gift and every perfect gift is from above, coming down from the Father of lights, with whom can be no variation, nor turning shadow.",gratitude,,26
colossians-3-15,Colossians 3:15,"And let the peace of God rule in your hearts, to which also you were called in one body, and be thankful.",gratitude;rest,,22
colossians-3-16,Colossians 3:16,"Let the word of Christ dwell in you richly; in all wisdom teaching and admonishing one another with psalms, hymns, and spiritual songs, singing with grace in your heart to the Lord.",gratitude,,32
colossians-3-17,Colossians 3:17,"Whatever you do, in word or in deed, do all in the name of the Lord Jesus, giving thanks to God the Father, through him.",gratitude,,25
romans-8-24,Romans 8:24,"For we were saved in hope, but hope that is seen is not hope. For who hopes for that which he sees?",hope;waiting,grief;mental-health,22
romans-8-25,Romans 8:25,"But if we hope for that which we don't see, we wait for it with patience.",hope;waiting;endurance,grief;mental-health,16
romans-15-13,Romans 15:13,"Now may the God of hope fill you with all joy and peace in believing, that you may abound in hope, in the power of the Holy Spirit.",hope,grief;mental-health,28
psalm-33-20,Psalm 33:20,Our soul has waited for Yahweh. He is our help and our shield.,hope;waiting,,13
psalm-33-21,Psalm 33:21,"For our heart rejoices in him, because we have trusted in his holy name.",hope;gratitude,,14
psalm-33-22,Psalm 33:22,"Let your loving kindness be on us, Yahweh, since we have hoped in you.",hope;waiting,,14
psalm-71-14,Psalm 71:14,"But I will always hope, and will add to all of your praise.",hope;endurance,,13
1-peter-1-3,1 Peter 1:3,"Blessed be the God and Father of our Lord Jesus Christ, who according to his great mercy caused us to be born again to a living hope through the resurrection of Jesus Christ from the dead,",hope,grief;mental-health,36
hebrews-6-19,Hebrews 6:19,"This hope we have as an anchor of the soul, a hope both sure and steadfast and entering into that which is within the veil;",hope;endurance,grief;mental-health,25
